Player,Team,BYE,POS,Age,Key,FO ID,Risk,Fpts
Rob Ninkovich,NE,4,IDP-DE,31,Rob Ninkovich|NE|IDP-DE,NinkovichRob06,Yellow,74
Leon Hall,CIN,7,IDP-CB,31,Leon Hall|CIN|IDP-CB,HallLeo07,Yellow,74
Shareece Wright,SF,10,IDP-CB,28,Shareece Wright|SF|IDP-CB,WrightSha11,Yellow,74
William Gay,PIT,11,IDP-CB,30,William Gay|PIT|IDP-CB,GayWil07,Yellow,74
Rodney McLeod,STL,6,IDP-SAF,25,Rodney McLeod|STL|IDP-SAF,McLeodRod12,Yellow,73
Shea McClellin,CHI,7,IDP-LB,26,Shea McClellin|CHI|IDP-LB,McClellinShe12,Yellow,73
Tamba Hali,KC,9,IDP-LB,32,Tamba Hali|KC|IDP-LB,HaliTam06,Yellow,73
Terrell Suggs,BAL,9,IDP-LB,33,Terrell Suggs|BAL|IDP-LB,SuggsTer03,Yellow,73
Melvin Ingram,SD,10,IDP-LB,26,Melvin Ingram|SD|IDP-LB,IngramMel12,Yellow,73
Tramon Williams,CLE,11,IDP-CB,32,Tramon Williams|CLE|IDP-CB,WilliamsTra06,Yellow,73
Xavier Rhodes,MIN,5,IDP-CB,25,Xavier Rhodes|MIN|IDP-CB,RhodesXav13,Yellow,73
Landon Collins,NYG,11,IDP-SAF,21,Landon Collins|NYG|IDP-SAF,CollinsLan15,Red,72
George Iloka,CIN,7,IDP-SAF,25,George Iloka|CIN|IDP-SAF,IlokaGeo12,Yellow,72
Tashaun Gipson,CLE,11,IDP-SAF,25,Tashaun Gipson|CLE|IDP-SAF,GipsonTas12,Yellow,72
Calvin Pryor,NYJ,5,IDP-SAF,23,Calvin Pryor|NYJ|IDP-SAF,PryorCal14,Yellow,72
Wesley Woodyard,TEN,4,IDP-LB,29,Wesley Woodyard|TEN|IDP-LB,WoodyardWes08,Yellow,72
A.J. Hawk,CIN,7,IDP-LB,31,A.J. Hawk|CIN|IDP-LB,HawkA.J06,Red,72
Alterraun Verner,TB,6,IDP-CB,27,Alterraun Verner|TB|IDP-CB,VernerAlt10,Yellow,72
Chris Culliver,WAS,8,IDP-CB,27,Chris Culliver|WAS|IDP-CB,CulliverChr11,Yellow,72
Marcus Gilchrist,NYJ,5,IDP-SAF,27,Marcus Gilchrist|NYJ|IDP-SAF,GilchristMar11,Yellow,71
Dannell Ellerbe,NO,11,IDP-LB,30,Dannell Ellerbe|NO|IDP-LB,EllerbeDan09,Yellow,71
Sean Weatherspoon,ARI,9,IDP-LB,28,Sean Weatherspoon|ARI|IDP-LB,WeatherspoonSea10,Yellow,71
Everson Griffen,MIN,5,IDP-DE,28,Everson Griffen|MIN|IDP-DE,GriffenEve10,Yellow,71
Jerraud Powers,ARI,9,IDP-CB,28,Jerraud Powers|ARI|IDP-CB,PowersJer09,Yellow,71
Kyle Fuller,CHI,7,IDP-CB,23,Kyle Fuller|CHI|IDP-CB,FullerKyl14,Yellow,71
Orlando Scandrick,DAL,6,IDP-CB,28,Orlando Scandrick|DAL|IDP-CB,ScandrickOrl08,Yellow,71
Dwayne Gratz,JAC,8,IDP-CB,25,Dwayne Gratz|JAC|IDP-CB,GratzDwa13,Yellow,71
Aqib Talib,DEN,7,IDP-CB,29,Aqib Talib|DEN|IDP-CB,TalibAqi08,Yellow,71
Josh Norman,CAR,5,IDP-CB,28,Josh Norman|CAR|IDP-CB,NormanJos12,Yellow,71
Brandon Flowers,SD,10,IDP-CB,29,Brandon Flowers|SD|IDP-CB,FlowersBra08,Yellow,71
Janoris Jenkins,STL,6,IDP-CB,27,Janoris Jenkins|STL|IDP-CB,JenkinsJan12,Yellow,71
Sergio Brown,JAC,8,IDP-SAF,27,Sergio Brown|JAC|IDP-SAF,BrownSer10,Yellow,70
Carlos Dunlap,CIN,7,IDP-DE,26,Carlos Dunlap|CIN|IDP-DE,DunlapCar10,Yellow,70
Olivier Vernon,MIA,5,IDP-DE,25,Olivier Vernon|MIA|IDP-DE,VernonOli12,Yellow,70
Eric Rowe,PHI,8,IDP-CB,23,Eric Rowe|PHI|IDP-CB,RoweEri15,Yellow,70
Brandon Carr,DAL,6,IDP-CB,29,Brandon Carr|DAL|IDP-CB,CarrBra08,Yellow,70
Darius Slay,DET,9,IDP-CB,24,Darius Slay|DET|IDP-CB,SlayDar13,Yellow,70
