fo_player_id,key,name,team,pos,age,risk,bye,fpts
RobinsonDen13,Denard Robinson|JAC|RB,Denard Robinson,JAC,RB,25,Green,8,68.0
HerronDan12,Dan Herron|IND|RB,Dan Herron,IND,RB,26,Yellow,10,68.0
CunninghamBen13,Benny Cunningham|STL|RB,Benny Cunningham,STL,RB,25,Blue,6,67.0
TolbertMik08,Mike Tolbert|CAR|RB,Mike Tolbert,CAR,RB,30,Red,5,67.0
DonnellLar11,Larry Donnell|NYG|TE,Larry Donnell,NYG,TE,27,Yellow,11,65.0
FlaccoJoe08,Joe Flacco|BAL|QB,Joe Flacco,BAL,QB,30,Yellow,9,263.0
TaliaferroLor14,Lorenzo Taliaferro|BAL|RB,Lorenzo Taliaferro,BAL,RB,23,Yellow,9,65.0
Cowboys D,Cowboys D|DAL|D,Cowboys D,DAL,D,--,Green,6,97.0
Jets D,Jets D|NYJ|D,Jets D,NYJ,D,--,Red,5,97.0
JohnsonCha13,Charles Johnson|MIN|WR,Charles Johnson,MIN,WR,26,Yellow,5,92.0
BradfordSam10,Sam Bradford|PHI|QB,Sam Bradford,PHI,QB,28,Red,8,261.0
MoncriefDon14,Donte Moncrief|IND|WR,Donte Moncrief,IND,WR,22,Yellow,10,91.0
HarrisJos14,Josh Harris|PIT|RB,Josh Harris,PIT,RB,24,Green,11,62.0
PraterMat07,Matt Prater|DET|K,Matt Prater,DET,K,31,Green,9,129.0
Panthers D,Panthers D|CAR|D,Panthers D,CAR,D,--,Green,5,96.0
HillmanRon12,Ronnie Hillman|DEN|RB,Ronnie Hillman,DEN,RB,24,Green,7,59.0
BrittKen09,Kenny Britt|STL|WR,Kenny Britt,STL,WR,27,Green,6,89.0
BaileyDan11,Dan Bailey|DAL|K,Dan Bailey,DAL,K,27,Yellow,6,128.0
Lions D,Lions D|DET|D,Lions D,DET,D,--,Red,9,95.0
RoyalEdd08,Eddie Royal|CHI|WR,Eddie Royal,CHI,WR,29,Green,7,88.0
ParkeyCod14,Cody Parkey|PHI|K,Cody Parkey,PHI,K,23,Red,8,127.0
49ers D,49ers D|SF|D,49ers D,SF,D,--,Yellow,10,94.0
Bucs D,Bucs D|TB|D,Bucs D,TB,D,--,Green,6,94.0
Vikings D,Vikings D|MIN|D,Vikings D,MIN,D,--,Red,5,94.0
FloydMal04,Malcom Floyd|SD|WR,Malcom Floyd,SD,WR,34,Yellow,10,86.0
GreenLad12,Ladarius Green|SD|TE,Ladarius Green,SD,TE,24,Yellow,10,57.0
JacksonFre07,Fred Jackson|BUF|RB,Fred Jackson,BUF,RB,34,Green,8,51.0
CarrDer14,Derek Carr|OAK|QB,Derek Carr,OAK,QB,24,Green,6,255.0
HawkinsAnd08,Andrew Hawkins|CLE|WR,Andrew Hawkins,CLE,WR,29,Yellow,11,85.0
JohnsonSte08,Steve Johnson|SD|WR,Steve Johnson,SD,WR,29,Red,10,85.0
TurbinRob12,Robert Turbin|SEA|RB,Robert Turbin,SEA,RB,26,Green,9,50.0
BallMon13,Montee Ball|DEN|RB,Montee Ball,DEN,RB,25,Green,7,49.0
McKinnonJer14,Jerick McKinnon|MIN|RB,Jerick McKinnon,MIN,RB,23,Blue,5,49.0
Bengals D,Bengals D|CIN|D,Bengals D,CIN,D,--,Yellow,7,93.0
Falcons D,Falcons D|ATL|D,Falcons D,ATL,D,--,Yellow,10,93.0
RodgersRic14,Richard Rodgers|GB|TE,Richard Rodgers,GB,TE,23,Yellow,7,55.0
GrimesJon12,Jonathan Grimes|HOU|RB,Jonathan Grimes,HOU,RB,26,Green,9,48.0
WilliamsDam14,Damien Williams|MIA|RB,Damien Williams,MIA,RB,23,Green,5,48.0
RandleRue12,Rueben Randle|NYG|WR,Rueben Randle,NYG,WR,24,Green,11,83.0
RichardsonTre12,Trent Richardson|OAK|RB,Trent Richardson,OAK,RB,24,Green,6,45.0
WestTer14,Terrance West|CLE|RB,Terrance West,CLE,RB,24,Blue,11,45.0
WatsonBen04,Benjamin Watson|NO|TE,Benjamin Watson,NO,TE,35,Yellow,11,53.0
Artis-PayneCam15,Cameron Artis-Payne|CAR|RB,Cameron Artis-Payne,CAR,RB,23,Red,5,44.0
GrayJon12,Jonas Gray|NE|RB,Jonas Gray,NE,RB,25,Green,4,44.0
OliverBra14,Branden Oliver|SD|RB,Branden Oliver,SD,RB,24,Blue,10,43.0
McClusterDex10,Dexter McCluster|TEN|RB,Dexter McCluster,TEN,RB,27,Green,4,43.0
CrabtreeMic09,Michael Crabtree|OAK|WR,Michael Crabtree,OAK,WR,28,Green,6,81.0
HurnsAll14,Allen Hurns|JAC|WR,Allen Hurns,JAC,WR,24,Yellow,8,81.0
GrahamGar10,Garrett Graham|HOU|TE,Garrett Graham,HOU,TE,29,Yellow,9,52.0
ChandlerSco07,Scott Chandler|NE|TE,Scott Chandler,NE,TE,30,Yellow,4,52.0
RiddickThe13,Theo Riddick|DET|RB,Theo Riddick,DET,RB,24,Green,9,41.0
FolkNic07,Nick Folk|NYJ|K,Nick Folk,NYJ,K,31,Green,5,124.0
Giants D,Giants D|NYG|D,Giants D,NYG,D,--,Red,11,91.0
DorsettPhi15,Phillip Dorsett|IND|WR,Phillip Dorsett,IND,WR,22,Yellow,10,80.0
WillsonLuk13,Luke Willson|SEA|TE,Luke Willson,SEA,TE,25,Green,9,51.0
BrownDon09,Donald Brown|SD|RB,Donald Brown,SD,RB,28,Green,10,40.0
RobinsonKhi13,Khiry Robinson|NO|RB,Khiry Robinson,NO,RB,26,Green,11,39.0
Titans D,Titans D|TEN|D,Titans D,TEN,D,--,Yellow,4,90.0
Green-BeckhamDor15,Dorial Green-Beckham|TEN|WR,Dorial Green-Beckham,TEN,WR,22,Yellow,4,78.0
RaineyBob12,Bobby Rainey|TB|RB,Bobby Rainey,TB,RB,28,Green,6,36.0
HunterKen11,Kendall Hunter|SF|RB,Kendall Hunter,SF,RB,27,Green,10,35.0
RodgersJac11,Jacquizz Rodgers|CHI|RB,Jacquizz Rodgers,CHI,RB,25,Green,7,35.0
JonesMar12-WR,Marvin Jones|CIN|WR,Marvin Jones,CIN,WR,25,Green,7,77.0
SanuMoh12,Mohamed Sanu|CIN|WR,Mohamed Sanu,CIN,WR,26,Green,7,77.0
